適合度,根拠,組織,分類,案件名,URL,階層,重複数,締切,募集状態
S,工芸・地域産品の海外展開,外郭|京都,海外展開/工芸・地域産品,伝統産業事業者の海外展開戦略検討へ向けた海外テストマーケティング等業務に係る公募型プロポーザルの実施について,https://www.ki21.jp/informations/densan-kaigai/,L1,2,2026-08-21,締切超過
S,海外展示会・出展支援（東京手仕事M&Oと同型）,外郭|京都,展示会・出展/海外展開,-京都ビジネス交流フェア2027-「グローバルテクノロジー京都展」開催業務に係る公募型プロポーザルの実施について,https://www.ki21.jp/informations/%e4%ba%ac%e9%83%bd%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e4%ba%a4%e6%b5%81%e3%83%95%e3%82%a7%e3%82%a22027/,L1,2,2026-07-27,締切超過
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,「SEMICON Japan 2026 京都パビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について,https://www.ki21.jp/?post_type=startup&amp;p=45181&amp;preview=true,L1,2,,過年度（次回予測用）
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,「SEMICON Taiwan 2026 KYOTOパビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について,https://www.ki21.jp/?post_type=startup&amp;p=37649&amp;preview=true,L1,1,,過年度（次回予測用）
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,公益財団法人京都産業２１ 令和８年度 京都府よろず支援拠点 相談ブース用パネル等のレンタルに係る事業者公募について,https://www.ki21.jp/informations/yorozu20260318-panel/,L1,2,2026-04-01,締切超過
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展/海外展開/イベント運営,-京都ビジネス交流フェア2026-「京都発・グローバルニッチ戦略展」展示会場装飾及び印刷物作成等の業務に係る公募型プロポーザルに対する質問の回答について,https://www.ki21.jp/informations/%e4%ba%ac%e9%83%bd%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e4%ba%a4%e6%b5%81%e3%83%95%e3%82%a7%e3%82%a22026-%e3%80%8c%e4%ba%ac%e9%83%bd%e7%99%ba%e3%83%bb%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%90%e3%83%ab/,L1,1,,締切不明
S,海外展示会・出展支援（東京手仕事M&Oと同型）,外郭|京都,展示会・出展/海外展開,-京都ビジネス交流フェア2026-「京都発・グローバルニッチ戦略展」開催業務に係る公募型プロポーザルの実施について,https://www.ki21.jp/informations/%e4%ba%ac%e9%83%bd%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e4%ba%a4%e6%b5%81%e3%83%95%e3%82%a7%e3%82%a22026-%e3%80%8c%e4%ba%ac%e9%83%bd%e7%99%ba%e3%83%bb%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%90%e3%83%ab-2/,L1,2,2025-08-14,締切超過
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,「SEMICON TAIWAN 2025 京都パビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について,https://www.ki21.jp/informations/semitaiwansousyokukoubo0519-2/,L1,2,2025-05-28,過年度（次回予測用）
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,「SXSW 2025 京都パビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について,https://www.ki21.jp/informations/sxsw2025kyotososyoku/,L1,2,2024-11-29,過年度（次回予測用）
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展/海外展開,「第54回 国際ホテル・レストランショー」 KYOTOブースの装飾業務に係る公募型プロポーザル審査の実施について,https://www.ki21.jp/informations/hoteresu-sousoku/,L1,2,2025-12-03,締切超過
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展,「JAPAN TRADE EXHIBITION IN DUBAI 2025」における京都ブース設置・運営等業務 公募型プロポーザル審査の選定結果について,https://www.ki21.jp/informations/japan-trade-exhibition-in-dubai-2025/,L1,1,2024-09-13,過年度（次回予測用）
S,会場装飾・設営の直接発注,外郭|京都,展示会・出展/イベント運営,「京都ビジネス交流フェア２０２３」展示会場装飾及び印刷物等作成・発送業務に係る公募型プロポーザルの実施について,https://www.ki21.jp/information/bp2023-itaku/,L1,2,,締切不明
S,会場装飾・設営の直接発注,外郭|大分,展示会・出展,令和８年度中小企業地域資源活用等促進事業(ジャンプアップ事業)における展示商談会大分県ブースの企画・運営委託業務の公募について,https://www.columbus.or.jp/2026/08/17/%e3%80%90%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b%e3%80%91%e4%bb%a4%e5%92%8c%ef%bc%98%e5%b9%b4%e5%ba%a6%e4%b8%ad%e5%b0%8f%e4%bc%81%e6%a5%ad%e5%9c%b0%e5%9f%9f%e8%b3%87%e6%ba%90%e6%b4%bb%e7%94%a8%e7%ad%89/,L2,1,2026-08-28,募集中
S,会場装飾・設営の直接発注,外郭|大阪,展示会・出展/イベント運営,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務の委託先公募について,https://www.obda.or.jp/wp-content/uploads/2026/05/konokurihaku2027_QandA.pdf,L1,1,,締切不明
S,会場装飾・設営の直接発注,外郭|大阪,展示会・出展/イベント運営,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務募集要項,https://www.obda.or.jp/wp-content/uploads/2026/05/01_konokurihaku2027_Guidelines.pdf,L1,1,,締切不明
S,会場装飾・設営の直接発注,外郭|大阪,展示会・出展/イベント運営,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務仕様書案,https://www.obda.or.jp/wp-content/uploads/2026/05/02_konokurihaku2027_Specs.pdf,L1,1,,締切不明
S,海外展示会・出展支援（東京手仕事M&Oと同型）,外郭|山口,展示会・出展/海外展開,海外展示会及び海外バイヤー招聘事業による、海外展開支援補助業務,https://yipf.or.jp/proposal/%e6%b5%b7%e5%a4%96%e5%b1%95%e7%a4%ba%e4%bc%9a%e5%8f%8a%e3%81%b3%e6%b5%b7%e5%a4%96%e3%83%90%e3%82%a4%e3%83%a4%e3%83%bc%e6%8b%9b%e8%81%98%e4%ba%8b%e6%a5%ad%e3%81%ab%e3%82%88%e3%82%8b/?e=contents,L1,1,2026-07-10,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「第３１回機械要素技術展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r8_kikaiyouso/?e=contents,L1,4,2026-05-12,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「2025NEW環境展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/exhibitionr8_kankyo/?e=contents,L1,2,2026-04-13,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「H2&FC EXPO【秋】／BATTERY JAPAN【秋】」出展に係る装飾業務,https://yipf.or.jp/proposal/h2battery2026-decoration_proposal/?e=contents,L1,1,2026-07-14,締切超過
S,工芸・地域産品の海外展開,外郭|山口,海外展開/工芸・地域産品,海外バイヤー招聘による県内地域産品の視察・商談等実施業務,https://yipf.or.jp/proposal/%e6%b5%b7%e5%a4%96%e3%83%90%e3%82%a4%e3%83%a4%e3%83%bc%e6%8b%9b%e8%81%98%e3%81%ab%e3%82%88%e3%82%8b%e7%9c%8c%e5%86%85%e5%9c%b0%e5%9f%9f%e7%94%a3%e5%93%81%e3%81%ae%e8%a6%96%e5%af%9f%e3%83%bb%e5%95%86/?e=contents,L1,1,2026-01-20,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「第４回製造業カーボンニュートラル展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7_seizou_cn/?e=contents,L1,1,2025-11-21,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「第60回 スーパーマーケット・トレードショー2026」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7bukka_smts2026/?e=contents,L1,3,2025-10-15,締切超過
S,会場装飾・設営の直接発注,外郭|山口,展示会・出展,「第３回九州機械要素技術展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7_kyushukikaiyouso/?e=contents,L1,2,2025-09-19,締切超過
